Tag,Title,Authors,Month,Year
Jones_2014_CVPR,Unsupervised Spectral Dual Assignment Clustering of Human Actions in Context,"Jones, Simon and Shao, Ling",June,2014
Pirsiavash_2014_CVPR,Parsing Videos of Actions with Segmental Grammars,"Pirsiavash, Hamed and Ramanan, Deva",June,2014
Su_2014_CVPR,Rate-Invariant Analysis of Trajectories on Riemannian Manifolds with Application in Visual Speech Recognition,"Su, Jingyong and Srivastava, Anuj and de Souza, Fillipe D. M. and Sarkar, Sudeep",June,2014
Cabral_2014_CVPR,Piecewise Planar and Compact Floorplan Reconstruction from Images,"Cabral, Ricardo and Furukawa, Yasutaka",June,2014
Zhang_2014_CVPR,Data-driven Flower Petal Modeling with Botany Priors,"Zhang, Chenxi and Ye, Mao and Fu, Bo and Yang, Ruigang",June,2014
Taylor_2014_CVPR,User-Specific Hand Modeling from Monocular Depth Sequences,"Taylor, Jonathan and Stebbing, Richard and Ramakrishna, Varun and Keskin, Cem and Shotton, Jamie and Izadi, Shahram and Hertzmann, Aaron and Fitzgibbon, Andrew",June,2014
Hane_2014_CVPR,Class Specific 3D Object Shape Priors Using Surface Normals,"Hane, Christian and Savinov, Nikolay and Pollefeys, Marc",June,2014
Liu_2014_CVPR,Frequency-Based 3D Reconstruction of Transparent and Specular Objects,"Liu, Ding and Chen, Xida and Yang, Yee-Hong",June,2014
Perbet_2014_CVPR,Human Body Shape Estimation Using a Multi-Resolution Manifold Forest,"Perbet, Frank and Johnson, Sam and Pham, Minh-Tri and Stenger, Bjorn",June,2014
Zhang_2014_CVPR,Quality Dynamic Human Body Modeling Using a Single Low-cost Depth Camera,"Zhang, Qing and Fu, Bo and Ye, Mao and Yang, Ruigang",June,2014
Liu_2014_CVPR,Single-View 3D Scene Parsing by Attributed Grammar,"Liu, Xiaobai and Zhao, Yibiao and Zhu, Song-Chun",June,2014
Zou_2014_CVPR,Separation of Line Drawings Based on Split Faces for 3D Object Reconstruction,"Zou, Changqing and Yang, Heng and Liu, Jianzhuang",June,2014
Zhang_2014_CVPR,When 3D Reconstruction Meets Ubiquitous RGB-D Images,"Zhang, Quanshi and Song, Xuan and Shao, Xiaowei and Zhao, Huijing and Shibasaki, Ryosuke",June,2014
Chhatkuli_2014_CVPR,Stable Template-Based Isometric 3D Reconstruction in All Imaging Conditions by Linear Least-Squares,"Chhatkuli, Ajad and Pizarro, Daniel and Bartoli, Adrien",June,2014
Liu_2014_CVPR,Discrete-Continuous Depth Estimation from a Single Image,"Liu, Miaomiao and Salzmann, Mathieu and He, Xuming",June,2014
Wu_2014_CVPR,Leveraging Hierarchical Parametric Networks for Skeletal Joints Based Action Segmentation and Recognition,"Wu, Di and Shao, Ling",June,2014
Siddharth_2014_CVPR,Seeing What You're Told: Sentence-Guided Activity Recognition In Video,"Siddharth, Narayanaswamy and Barbu, Andrei and Mark Siskind, Jeffrey",June,2014
Jain_2014_CVPR,Action Localization with Tubelets from Motion,"Jain, Mihir and van Gemert, Jan and Jegou, Herve and Bouthemy, Patrick and Snoek, Cees G.M.",June,2014
Chen_2014_CVPR,Actionness Ranking with Lattice Conditional Ordinal Random Fields,"Chen, Wei and Xiong, Caiming and Xu, Ran and Corso, Jason J.",June,2014
Ni_2014_CVPR,Multiple Granularity Analysis for Fine-grained Action Detection,"Ni, Bingbing and Paramathayalan, Vignesh R. and Moulin, Pierre",June,2014
Sultani_2014_CVPR,Human Action Recognition Across Datasets by Foreground-weighted Histogram Decomposition,"Sultani, Waqas and Saleemi, Imran",June,2014
Lu_2014_CVPR,Range-Sample Depth Feature for Action Recognition,"Lu, Cewu and Jia, Jiaya and Tang, Chi-Keung",June,2014
Kuehne_2014_CVPR,The Language of Actions: Recovering the Syntax and Semantics of Goal-Directed Human Activities,"Kuehne, Hilde and Arslan, Ali and Serre, Thomas",June,2014
Swears_2014_CVPR,Complex Activity Recognition using Granger Constrained DBN (GCDBN) in Sports and Surveillance Video,"Swears, Eran and Hoogs, Anthony and Ji, Qiang and Boyer, Kim",June,2014
Hasan_2014_CVPR,Incremental Activity Modeling and Recognition in Streaming Videos,"Hasan, Mahmudul and Roy-Chowdhury, Amit K.",June,2014
Yang_2014_CVPR,Super Normal Vector for Activity Recognition Using Depth Sequences,"Yang, Xiaodong and Tian, YingLi",June,2014
Lillo_2014_CVPR,Discriminative Hierarchical Modeling of Spatio-Temporally Composable Human Activities,"Lillo, Ivan and Soto, Alvaro and Carlos Niebles, Juan",June,2014
Jones_2014_CVPR,A Multigraph Representation for Improved Unsupervised/Semi-supervised Learning of Human Actions,"Jones, Simon and Shao, Ling",June,2014
Tapaswi_2014_CVPR,StoryGraphs: Visualizing Character Interactions as a Timeline,"Tapaswi, Makarand and Bauml, Martin and Stiefelhagen, Rainer",June,2014
Xu_2014_CVPR,Learning Receptive Fields for Pooling from Tensors of Feature Response,"Xu, Can and Vasconcelos, Nuno",June,2014
Dong_2014_CVPR,Towards Unified Human Parsing and Pose Estimation,"Dong, Jian and Chen, Qiang and Shen, Xiaohui and Yang, Jianchao and Yan, Shuicheng",June,2014
Fanello_2014_CVPR,Ask the Image: Supervised Pooling to Preserve Feature Locality,"Ryan Fanello, Sean and Noceti, Nicoletta and Ciliberto, Carlo and Metta, Giorgio and Odone, Francesca",June,2014
Wah_2014_CVPR,Similarity Comparisons for Interactive Fine-Grained Categorization,"Wah, Catherine and Van Horn, Grant and Branson, Steve and Maji, Subhransu and Perona, Pietro and Belongie, Serge",June,2014
Hoffman_2014_CVPR,Continuous Manifold Based Adaptation for Evolving Visual Domains,"Hoffman, Judy and Darrell, Trevor and Saenko, Kate",June,2014
Hoai_2014_CVPR,Talking Heads: Detecting Humans and Recognizing Their Interactions,"Hoai, Minh and Zisserman, Andrew",June,2014
Kim_2014_CVPR,Salient Region Detection via High-Dimensional Color Transform,"Kim, Jiwhan and Han, Dongyoon and Tai, Yu-Wing and Kim, Junmo",June,2014
Mottaghi_2014_CVPR,The Role of Context for Object Detection and Semantic Segmentation in the Wild,"Mottaghi, Roozbeh and Chen, Xianjie and Liu, Xiaobai and Cho, Nam-Gyu and Lee, Seong-Whan and Fidler, Sanja and Urtasun, Raquel and Yuille, Alan",June,2014
Luo_2014_CVPR,Switchable Deep Network for Pedestrian Detection,"Luo, Ping and Tian, Yonglong and Wang, Xiaogang and Tang, Xiaoou",June,2014
Zhang_2014_CVPR,Compact Representation for Image Classification: To Choose or to Compress?,"Zhang, Yu and Wu, Jianxin and Cai, Jianfei",June,2014
Zhu_2014_CVPR,Capturing Long-tail Distributions of Object Subcategories,"Zhu, Xiangxin and Anguelov, Dragomir and Ramanan, Deva",June,2014
Schulter_2014_CVPR,Accurate Object Detection with Joint Classification-Regression Random Forests,"Schulter, Samuel and Leistner, Christian and Wohlhart, Paul and Roth, Peter M. and Bischof, Horst",June,2014
Babenko_2014_CVPR,Additive Quantization for Extreme Vector Compression,"Babenko, Artem and Lempitsky, Victor",June,2014
Ge_2014_CVPR,Product Sparse Coding,"Ge, Tiezheng and He, Kaiming and Sun, Jian",June,2014
Zhang_2014_CVPR,Informed Haar-like Features Improve Pedestrian Detection,"Zhang, Shanshan and Bauckhage, Christian and Cremers, Armin B.",June,2014
Kato_2014_CVPR,Image Reconstruction from Bag-of-Visual-Words,"Kato, Hiroharu and Harada, Tatsuya",June,2014
Ni_2014_CVPR,Beta Process Multiple Kernel Learning,"Ni, Bingbing and Li, Teng and Moulin, Pierre",June,2014
Yang_2014_CVPR,Random Laplace Feature Maps for Semigroup Kernels on Histograms,"Yang, Jiyan and Sindhwani, Vikas and Fan, Quanfu and Avron, Haim and Mahoney, Michael W.",June,2014
Mu_2014_CVPR,Hash-SVM: Scalable Kernel Machines for Large-Scale Visual Classification,"Mu, Yadong and Hua, Gang and Fan, Wei and Chang, Shih-Fu",June,2014
Yu_2014_CVPR,Transitive Distance Clustering with K-Means Duality,"Yu, Zhiding and Xu, Chunjing and Meng, Deyu and Hui, Zhuo and Xiao, Fanyi and Liu, Wenbo and Liu, Jianzhuang",June,2014
Tonde_2014_CVPR,Simultaneous Twin Kernel Learning using Polynomial Transformations for Structured Prediction,"Tonde, Chetan and Elgammal, Ahmed",June,2014
