A_id,B_id
2795,7994
2795,9963
2795,8946
2795,5665
2795,5679
2795,471
2795,3434
2795,1474
2795,6167
2795,2336
2795,2951
2798,2481
2801,5998
2801,538
2801,9304
2801,7645
281,1206
2810,5717
2810,6234
2810,9525
2810,7145
2813,1740
2813,9741
2816,7971
2816,9802
2819,5443
2819,1479
2819,1061
2819,1109
2819,1486
2819,48
2819,1003
2819,3010
2819,4242
2819,8040
2819,8111
2822,5540
2822,2761
2822,5244
2822,3370
2822,7145
2825,8972
2828,3808
2828,6697
2831,8332
2834,2194
2834,2598
2837,8509
2837,9129
2846,9211
2846,8552
2846,927
2846,2667
2846,2124
2846,2035
2846,3271
2846,2169
2849,4429
2849,2573
2855,1908
2870,1914
2882,8419
2882,8481
2882,1765
2882,6092
2885,9807
2885,7597
2885,3582
2885,2113
2891,2662
2903,5742
2903,2598
2903,1657
2903,3190
2903,2274
2903,7590
2903,7795
2903,6942
2903,9209
2903,7858
2909,4618
2912,8861
2915,4461
2915,4790
293,6563
293,8059
293,8827
2930,9295
2936,8808
2939,5434
2939,1527
2945,7902
2945,2057
2948,9091
2951,7055
2954,7487
2954,7666
2954,709
2954,1027
2957,2718
2963,519
2966,1325
2966,4440
2969,7365
2972,811
2972,2947
2972,8566
2972,6942
2972,7239
2972,8732
2978,7948
2978,8538
2978,7768
2978,9642
2978,8477
2978,8090
2978,3571
2978,610
2978,6505
2978,3991
2978,6571
2978,1347
2978,649
2978,4012
2978,2548
2978,366
2978,5665
2978,2321
2978,3699
2978,1481
2978,1601
2978,5802
2978,5136
2978,6375
2978,5526
2993,1322
2999,1906
3002,491
3002,1230
3002,7804
3005,1322
3008,7487
3008,8111
3014,9675
3014,7754
3014,3864
3020,1866
3020,3103
3020,9543
3020,8863
3020,8090
3020,7487
3020,7666
3026,5597
3029,1822
3029,31
3032,8630
3038,8184
3041,690
3041,1981
3041,6269
3041,575
3041,242
3044,3498
3047,3312
3047,1813
3047,2466
3047,3313
3047,9681
305,1563
3050,8666
3068,1775
308,1529
3083,6211
3089,9211
3089,7484
3089,7532
3089,8026
3089,284
3092,1178
3092,6472
3092,1377
3092,6416
3092,6631
3092,1675
3092,2038
3092,8447
3092,7405
3095,9304
3095,7869
3101,8775
3101,3946
3104,2888
3104,8735
3104,8026
3107,437
3107,2726
3107,5860
3107,2657
3107,5383
3110,8412
3110,3946
3116,6160
3122,3877
3122,6246
3122,3125
3122,2807
3122,5376
3122,1527
3122,8560
3122,8616
3131,3771
3131,3436
3131,8401
3131,8445
3137,4521
3137,5347
3137,9752
314,4012
3146,5002
3146,3582
3146,1895
3155,7103
3155,9093
3155,8764
3158,8803
3179,7626
3179,8285
3182,2652
3185,1610
3191,5651
3191,1755
3191,2141
3197,6055
3197,9737
32,2280
32,446
3200,8827
3206,6252
3206,8509
3212,8653
3218,2904
3218,4728
3218,7885
3218,7645
3218,9723
3218,9422
3218,8183
3221,9881
3227,2019
3227,1725
3227,2274
3227,3809
3227,7579
3227,7795
3227,8864
323,1803
3233,3905
3233,7922
3233,8571
3236,2393
3239,2345
326,452
3260,7002
3272,8349
3272,4972
3275,609
3284,7935
3284,8496
3284,7649
